,公司中文名称,评级日期,评级类型,信用评级,评级展望,评级机构代码,债券主体公司id,信用评级说明,前次信用评级,评级变动方向,评级对象类型代码,公告日期
0,嘉兴市现代服务业发展投资集团有限公司,2017-07-20,1,AA+,"518,003,000",5,1AT4EB53E2,0,AA+,维持,"536,001,001",2017-07-24
1,广州期货股份有限公司,2016-01-01,4,BBB,0,15,1hS5FAC402,公司风险管理能力、市场竞争力、培育和发展机构投资者状况、持续合规状况的综合评价在行业内较高，能够控制业务风险,BBB,维持,"536,002,000",2016-08-05
2,张家界市经济发展投资集团有限公司,2017-06-22,1,AA,"518,003,000",14,F4DFE,债务安全性很高，违约风险很低。,AA,维持,"536,001,001",2017-06-26
3,兰州银行股份有限公司,2017-07-20,1,AA+,"518,003,000",5,16I387782D,0,AA,调高,"536,001,001",2017-07-20
4,广德县国有资产投资经营有限公司,2017-06-28,1,AA,"518,003,000",14,B8oGfnCB6x,债务安全性很高，违约风险很低。,0,首次,"536,001,001",2017-07-10
5,太原国有投资集团有限公司,2017-06-26,1,AA+,"518,003,000",14,680213236,0,AA+,维持,"536,001,001",2017-06-27
6,中债信用增进投资股份有限公司,2017-06-20,1,AAA,"518,003,000",19,3ID9303623,偿还债务的能力极强，基本不受利经济环境影响，违约风险极低,AAA,维持,"536,002,001",2017-06-20
7,亚厦控股有限公司,2017-02-14,1,AA,"518,003,000",6,O4F65286,偿还债务的能力很强，受不利经济环境的影响不大，违约风险很低。,AA,维持,"536,001,001",2017-07-11
8,甘肃省公路航空旅游投资集团有限公司,2017-06-20,1,AAA,"518,003,000",6,fFJyb7OEI9,偿还债务的能力极强，基本不受不利经济环境的影响，违约风险极低。 ,AAA,维持,"536,001,001",2017-06-27
9,浙江玉环城市建设集团有限公司,2017-06-21,1,AA,"518,003,000",19,255333720,偿还债务的能力很强，受不利经济环境影响大，违约风险很低,AA,维持,"536,001,001",2017-06-22
10,徐州经济技术开发区国有资产经营有限责任公司,2017-07-12,1,AA,"518,003,000",6,YqYHKCysGA,偿还债务的能力很强，受不利经济环境的影响不大，违约风险很低。,AA,维持,"536,001,001",2017-07-13
11,扬州绿色产业投资发展控股(集团)有限责任公司,2017-06-26,1,AA,"518,003,000",4,LZRIDwoCfX,短期债务的支付能力和长期债务的偿还能力很强；经营处于良性循环状态，不确定因素对经营与发展的影响很小；偿还债务的能力很强，受不利经济环境的影响不大，违约风险很低。,AA,维持,"536,001,001",2017-06-29
12,伊犁农四师国有资产投资有限责任公司,2017-06-26,1,AA+,"518,003,000",4,MQTFPfUVbz,0,AA+,维持,"536,001,001",2017-06-26
13,冀中能源集团有限责任公司,2017-08-21,1,AAA,"518,003,000",6,2qS6C62F4C,偿还债务的能力极强，基本不受不利经济环境的影响，违约风险极低。 ,AAA,维持,"536,001,001",2017-08-30
14,万华实业集团有限公司,2017-07-21,1,AAA,"518,003,000",2,601968,受评对象偿还债务的能力极强，基本不受不利经济环境的影响，违约风险极低。  ,AAA,维持,"536,001,001",2017-07-24
15,泸州阜阳投资集团有限公司,2017-06-21,1,AA,"518,003,000",14,D6gYlh4UpJ,债务安全性很高，违约风险很低。,AA-,调高,"536,001,001",2017-06-28
16,永安期货股份有限公司,2016-01-01,4,AA,0,15,04N7CDED12,公司风险管理能力、市场竞争力、培育和发展机构投资者状况、持续合规状况的综合评价在行业内最高，能够较好控制业务风险,AA,维持,"536,002,000",2016-08-05
17,中国平安人寿保险股份有限公司,2017-06-30,1,AAA,"518,003,000",2,04H4F600E0,受评对象偿还债务的能力极强，基本不受不利经济环境的影响，违约风险极低。  ,AAA,维持,"536,001,001",2017-06-30
18,瑞昌市投资有限责任公司,2017-06-19,1,AA,"518,003,000",14,751107597,债务安全性很高，违约风险很低。,AA,维持,"536,001,001",2017-06-30
19,建业住宅集团(中国)有限公司,2017-06-22,1,AA,"518,003,000",6,UYc3boscdu,偿还债务的能力很强，受不利经济环境的影响不大，违约风险很低。,AA,维持,"536,001,001",2017-06-27
20,汕头投资建设总公司,2017-05-26,1,AA,"518,003,000",14,192757541,债务安全性很高，违约风险很低。,AA,维持,"536,001,001",2017-06-23
21,邹平县国有资产投资经营有限公司,2017-06-27,1,AA,"518,003,000",6,K4FhRyoQS5,偿还债务的能力很强，受不利经济环境的影响不大，违约风险很低。,AA,维持,"536,001,001",2017-06-29
22,浙报传媒控股集团有限公司,2017-05-02,1,AAA,"518,003,000",7,JDE0646B,偿还债务的能力极强，基本不受不利经济环境的影响，违约风险极低,0,首次,"536,001,001",2017-08-15
23,山西晋煤集团晋圣矿业投资有限公司,2017-07-17,1,AA,"518,003,000",13,UKMRNHZKsh,受评主体偿还债务的能力很强，受不利经济环境的影响较小，违约风险很低；债券信用质量很高，信用风险很低。,0,首次,"536,001,001",2017-07-19
24,交银租赁发展香港有限公司,2017-09-07,1,Baa1,"518,003,000",16,ElVO5btdtr,"Baa级债务有中等信用风险。这些债务属于中等评级，因此有某些投机特征,修正数字1表示该债务在所属同类评 级中排位较高",A3,调低,"536,002,002",2017-09-07
25,中原证券股份有限公司,2017-05-26,1,AA+,"518,003,000",7,04C564FD3B,0,AA+,维持,"536,001,001",2017-06-24
26,武汉市江夏农业集团有限公司,2017-07-06,1,AA,"518,003,000",14,u0qtVbdydS,债务安全性很高，违约风险很低。,AA,维持,"536,001,001",2017-07-11
27,中国银河证券股份有限公司,2017-05-26,1,AAA,"518,003,000",6,604498,偿还债务的能力极强，基本不受不利经济环境的影响，违约风险极低。 ,AAA,维持,"536,001,001",2017-06-24
28,长乐市国有资产营运公司,2017-06-27,1,AA,"518,003,000",2,4WF6A1A398,受评对象偿还债务的能力很强，受不利经济环境的影响较小，违约风险很低。,AA,维持,"536,001,001",2017-06-28
29,中国核工业集团公司,2017-07-26,1,AAA,"518,003,000",2,502038304,受评对象偿还债务的能力极强，基本不受不利经济环境的影响，违约风险极低。  ,AAA,维持,"536,002,001",2017-07-26
30,无锡市太湖新城发展集团有限公司,2017-07-25,1,AA+,"518,003,000",5,05NOYGmkbV,0,AA+,维持,"536,001,001",2017-07-25
31,海思科医药集团股份有限公司,2017-07-26,1,AA,"518,003,000",4,0vKf0rqpd9,短期债务的支付能力和长期债务的偿还能力很强；经营处于良性循环状态，不确定因素对经营与发展的影响很小；偿还债务的能力很强，受不利经济环境的影响不大，违约风险很低。,AA,维持,"536,001,001",2017-07-26
32,金诚信矿业管理股份有限公司,2017-06-20,1,AA,"518,003,000",7,VvuIhFhkRI,偿还债务的能力很强，受不利经济环境的影响不大，违约风险很低,AA,维持,"536,001,001",2017-06-21
33,中合中小企业融资担保股份有限公司,2017-07-07,1,AAA,"518,003,000",19,dJjAbiHMUh,偿还债务的能力极强，基本不受利经济环境影响，违约风险极低,AAA,维持,"536,002,001",2017-07-10
34,沛县国有资产经营有限公司,2017-07-07,1,AA,"518,003,000",13,2004282,受评主体偿还债务的能力很强，受不利经济环境的影响较小，违约风险很低；债券信用质量很高，信用风险很低。,0,首次,"536,002,002",2017-07-07
